

Idaho (PST) SNOTEL Site Banner Summit - NRCS National Water and Climate Center - Provisional Data - subject to revision as of Fri Sep 01 13:11:21 GMT-08:00 2023. Notes on dates - Daily sensors (e.g. TAVG.D-1) report a summary value for the previous day.  Hourly sensors (e.g. TAVG.H-1) report a summary value for the previous hour.  Instantaneous sensors (e.g. TOBS.I-1) report a single observation on the hour.

Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
312,2020-10-23,,     0.0,     2.1,    -8.9,     3.6,    -9.0,    -3.4,       0,
312,2020-10-24,,     0.0,     2.3,     2.7,     5.3,   -10.3,    -1.4,       0,
312,2020-10-25,,     0.0,     2.3,    -8.1,     4.8,    -8.1,    -0.4,       0,
312,2020-10-26,,     0.0,     2.3,   -10.8,    -1.6,   -12.2,    -8.0,       0,
312,2020-10-27,,     0.0,     2.3,    -4.3,     4.4,   -13.8,    -4.8,       0,
312,2020-10-28,,     0.0,     2.3,    -3.5,    11.4,    -4.8,     2.0,       0,
312,2020-10-29,,     0.0,     2.3,    -1.9,    12.7,    -4.7,     2.1,       0,
312,2020-10-30,,     0.0,     2.3,    -2.0,    13.9,    -3.1,     2.6,       0,
312,2020-10-31,,     0.0,     2.3,    -3.0,    13.0,    -4.2,     3.2,       0,
312,2020-11-01,,     0.0,     2.3,    -2.5,    11.5,    -6.1,     0.4,       0,
312,2020-11-02,,     0.0,     2.3,    -1.3,    16.6,    -3.7,     2.9,       0,
312,2020-11-03,,     0.0,     2.3,    -1.2,    18.2,    -2.3,     4.2,       0,
312,2020-11-04,,     0.0,     2.3,    -1.3,    16.4,    -2.2,     4.3,       0,
312,2020-11-05,,     0.0,     2.3,    -0.5,    13.9,    -1.8,     3.9,       0,
312,2020-11-06,,     0.0,     2.3,     0.4,    14.6,    -1.7,     4.6,       0,
312,2020-11-07,,     0.0,     2.3,     4.4,    12.6,    -1.1,     4.4,       0,
312,2020-11-08,,     0.0,     2.3,    -1.1,    12.2,    -1.1,     3.2,       0,
312,2020-11-09,,     0.4,     2.7,    -8.7,    -1.1,    -8.7,    -4.2,       4,
312,2020-11-10,,     0.4,     2.7,    -8.7,    -3.4,   -12.3,    -7.8,       4,
312,2020-11-11,,     0.8,     3.0,    -5.7,    -3.3,    -8.9,    -6.4,       8,
312,2020-11-12,,     0.9,     3.1,   -14.7,    -1.2,   -15.0,    -7.0,       9,
312,2020-11-13,,     0.9,     3.1,   -11.4,     1.3,   -18.8,   -10.5,       8,
312,2020-11-14,,     2.1,     4.4,    -5.1,    -1.3,   -11.4,    -4.4,      17,
312,2020-11-15,,     2.6,     4.8,    -5.4,    -2.2,    -6.4,    -5.2,      23,
312,2020-11-16,,     3.1,     5.4,    -0.2,     1.3,    -5.4,    -1.3,      22,
312,2020-11-17,,     3.1,     5.4,    -1.3,     6.9,    -1.7,     1.1,      19,
312,2020-11-18,,     3.6,     5.8,     0.9,     7.2,    -3.2,     1.2,      19,
312,2020-11-19,,     4.4,     6.7,    -2.6,     3.1,    -2.6,     0.5,      25,
312,2020-11-20,,     4.8,     7.1,   -11.5,     0.1,   -11.5,    -3.6,      27,
312,2020-11-21,,     4.8,     7.1,   -13.8,    -1.8,   -14.1,    -9.8,      25,
312,2020-11-22,,     4.8,     7.1,   -11.6,    -3.1,   -16.9,   -11.4,      24,
312,2020-11-23,,     4.8,     7.1,   -11.9,    -2.3,   -13.9,    -9.9,      24,
312,2020-11-24,,     4.8,     7.1,   -11.2,     1.1,   -13.8,    -8.0,      22,
312,2020-11-25,,     4.8,     7.1,   -11.4,     2.4,   -13.1,    -8.3,      21,
312,2020-11-26,,     5.0,     7.3,    -9.8,    -2.3,   -11.6,    -7.1,      23,
312,2020-11-27,,     5.0,     7.3,   -14.3,     0.3,   -14.6,    -8.9,      23,
312,2020-11-28,,     5.0,     7.3,   -13.0,     3.6,   -14.3,    -9.2,      22,
312,2020-11-29,,     5.0,     7.3,    -9.2,     3.5,   -16.6,    -9.1,      22,
312,2020-11-30,,     5.0,     7.3,   -11.4,    -0.2,   -13.0,    -8.8,      21,
312,2020-12-01,,     5.0,     7.3,    -8.6,     2.1,   -15.2,    -7.5,      21,
312,2020-12-02,,     5.0,     7.3,    -8.4,     0.7,   -11.6,    -7.2,      21,
312,2020-12-03,,     5.0,     7.3,    -7.3,     2.9,   -10.6,    -6.6,      21,
312,2020-12-04,,     5.0,     7.3,   -11.2,     2.4,   -11.4,    -7.1,      20,
312,2020-12-05,,     5.0,     7.3,    -7.5,     3.7,   -13.1,    -5.5,      20,
312,2020-12-06,,     5.0,     7.3,   -10.2,     3.4,   -10.2,    -5.0,      20,
312,2020-12-07,,     5.0,     7.3,    -5.0,     5.3,   -11.2,    -5.3,      20,
312,2020-12-08,,     5.0,     7.3,    -8.4,     4.3,    -8.4,    -4.8,      21,
312,2020-12-09,,     5.0,     7.3,    -6.9,     7.8,    -9.8,    -3.2,      21,
312,2020-12-10,,     5.0,     7.3,   -10.2,     6.7,   -10.2,    -4.2,      21,
312,2020-12-11,,     5.0,     7.3,   -14.3,     1.5,   -14.3,    -8.5,      21,
312,2020-12-12,,     5.0,     7.3,   -16.3,    -4.8,   -16.3,    -9.7,      21,
312,2020-12-13,,     5.0,     7.3,   -19.1,    -4.8,   -19.3,   -14.4,      21,
312,2020-12-14,,     5.3,     7.6,    -8.1,    -7.0,   -19.7,   -11.2,      24,
312,2020-12-15,,     5.3,     7.7,   -13.8,    -0.3,   -13.8,    -7.4,      23,
312,2020-12-16,,     5.5,     8.0,    -3.6,    -3.3,   -15.0,    -6.5,      25,
312,2020-12-17,,     5.9,     8.2,    -1.8,     2.5,    -4.4,    -2.0,      27,
312,2020-12-18,,     6.2,     8.7,    -5.6,     1.6,    -6.1,    -2.4,      31,
312,2020-12-19,,     6.3,     8.7,    -9.7,    -1.1,    -9.7,    -4.7,      30,
312,2020-12-20,,     6.4,     8.9,    -2.1,     0.1,    -9.7,    -2.8,      30,
312,2020-12-21,,     7.0,     9.5,     1.5,     1.6,    -2.3,    -0.1,      33,
312,2020-12-22,,     7.2,     9.8,    -1.6,     5.4,    -3.5,     1.0,      32,
312,2020-12-23,,     7.2,     9.8,   -11.0,     0.2,   -11.0,    -6.2,      32,
312,2020-12-24,,     7.2,     9.8,   -12.9,    -2.3,   -19.6,   -12.8,      32,
312,2020-12-25,,     7.2,     9.8,    -9.1,    -0.4,   -14.5,    -9.1,      32,
312,2020-12-26,,     7.5,    10.1,    -1.9,     3.4,   -12.5,    -4.8,      34,
312,2020-12-27,,     8.2,    10.6,    -6.1,     0.0,    -7.5,    -2.5,      42,
312,2020-12-28,,     8.2,    10.6,   -11.8,    -1.7,   -16.5,   -10.3,      39,
312,2020-12-29,,     8.2,    10.6,   -14.4,    -4.9,   -14.8,   -11.3,      39,
312,2020-12-30,,     8.2,    10.6,   -13.4,    -0.6,   -20.6,   -12.1,      38,
312,2020-12-31,,     8.6,    11.1,    -3.9,    -1.9,   -14.0,    -6.4,      39,
312,2021-01-01,,     8.8,    11.2,    -5.2,    -1.1,    -6.4,    -3.8,      39,
312,2021-01-02,,     8.8,    11.3,    -5.2,    -1.2,    -5.6,    -4.3,      39,
312,2021-01-03,,     9.1,    11.5,    -3.6,    -0.5,    -5.2,    -3.2,      40,
312,2021-01-04,,     9.5,    12.0,    -7.7,     0.8,   -10.3,    -3.7,      44,
312,2021-01-05,,    11.0,    13.3,    -1.7,     0.6,    -8.9,    -3.5,      54,
312,2021-01-06,,    11.0,    13.4,   -12.8,    -0.1,   -12.8,    -6.0,      51,
312,2021-01-07,,    11.0,    13.4,    -3.6,     3.2,   -12.9,    -6.7,      49,
312,2021-01-08,,    11.1,    13.5,   -11.5,     0.2,   -11.6,    -4.6,      51,
312,2021-01-09,,    11.1,    13.5,   -11.5,    -2.6,   -13.5,    -8.0,      50,
312,2021-01-10,,    11.1,    13.5,   -15.9,     0.4,   -16.3,    -9.8,      49,
312,2021-01-11,,    11.1,    13.5,   -13.5,    -4.0,   -18.1,   -11.5,      47,
312,2021-01-12,,    11.1,    13.5,    -8.5,     3.6,   -13.7,    -7.6,      46,
312,2021-01-13,,    12.2,    14.4,     0.5,     0.5,    -8.7,    -2.4,      52,
312,2021-01-14,,    12.6,    14.7,   -14.3,     2.5,   -14.5,    -2.8,      52,
312,2021-01-15,,    12.6,    14.7,    -9.9,     1.8,   -16.3,    -9.5,      51,
312,2021-01-16,,    12.8,    14.8,    -4.7,     4.2,   -13.6,    -5.1,      52,
312,2021-01-17,,    12.8,    14.8,    -6.5,     3.1,    -8.4,    -4.9,      51,
312,2021-01-18,,    12.8,    14.8,    -9.8,     2.0,   -10.8,    -4.2,      50,
312,2021-01-19,,    12.8,    14.8,   -13.7,    -0.9,   -13.8,    -7.0,      50,
312,2021-01-20,,    12.8,    14.8,   -14.4,    -0.5,   -15.3,   -10.6,      49,
312,2021-01-21,,    12.8,    14.8,    -5.3,    -0.5,   -16.6,    -8.5,      49,
312,2021-01-22,,    13.0,    15.1,    -3.2,    -0.4,    -5.8,    -3.3,      49,
312,2021-01-23,,    13.0,    15.1,    -8.4,     2.5,    -8.6,    -3.1,      49,
312,2021-01-24,,    13.0,    15.1,   -17.8,     2.4,   -17.8,    -8.8,      49,
312,2021-01-25,,    13.0,    15.1,   -13.3,     0.2,   -21.2,   -13.1,      48,
312,2021-01-26,,    13.0,    15.1,   -17.1,    -2.0,   -17.1,   -11.6,      48,
312,2021-01-27,,    13.0,    15.1,   -15.1,    -5.4,   -21.4,   -13.5,      47,
312,2021-01-28,,    13.4,    15.9,    -5.3,    -3.4,   -15.1,    -7.0,      56,
312,2021-01-29,,    13.9,    16.4,    -2.6,    -0.2,    -5.4,    -2.9,      57,
312,2021-01-30,,    14.4,    16.9,    -3.3,     1.9,    -3.3,    -1.3,      62,
312,2021-01-31,,    14.4,    16.9,   -11.7,    -0.5,   -11.8,    -5.3,      59,
312,2021-02-01,,    14.4,    16.9,    -4.8,     2.1,   -16.2,    -8.1,      58,
312,2021-02-02,,    14.5,    17.0,    -1.3,     5.6,    -7.5,    -1.7,      57,
312,2021-02-03,,    15.1,    17.5,    -4.8,     5.1,    -4.8,     0.0,      62,
312,2021-02-04,,    15.1,    17.5,    -7.7,    -0.5,   -10.1,    -5.9,      60,
312,2021-02-05,,    15.3,    17.5,    -5.9,     0.2,   -16.8,    -7.6,      60,
312,2021-02-06,,    15.6,    17.8,    -8.9,     1.8,    -8.9,    -3.6,      63,
312,2021-02-07,,    15.6,    17.8,    -3.3,    -1.8,    -9.0,    -3.7,      60,
312,2021-02-08,,    15.6,    17.8,    -6.1,    -2.4,    -6.3,    -4.8,      59,
312,2021-02-09,,    15.6,    17.8,   -16.2,     0.0,   -16.8,    -8.4,      59,
312,2021-02-10,,    15.6,    17.8,   -17.9,     2.0,   -17.9,    -9.8,      58,
312,2021-02-11,,    15.6,    17.8,    -7.0,     1.5,   -20.0,    -9.3,      57,
312,2021-02-12,,    15.9,    18.2,    -5.0,    -1.7,    -9.9,    -5.1,      60,
312,2021-02-13,,    16.4,    18.6,    -5.8,    -0.8,    -5.8,    -4.1,      62,
312,2021-02-14,,    16.7,    19.0,    -7.3,     0.2,    -7.3,    -4.2,      64,
312,2021-02-15,,    16.9,    19.1,    -7.1,    -2.7,   -12.8,    -7.1,      66,
312,2021-02-16,,    17.5,    19.4,    -3.2,     0.5,    -7.1,    -3.6,      70,
312,2021-02-17,,    17.7,    19.6,    -7.7,    -0.7,    -7.7,    -4.1,      71,
312,2021-02-18,,    17.7,    19.8,   -15.3,     0.0,   -15.3,    -7.5,      68,
312,2021-02-19,,    17.8,    19.9,    -7.4,    -1.3,   -21.8,   -10.8,      69,
312,2021-02-20,,    18.4,    20.3,    -5.2,     1.6,    -7.4,    -4.2,      72,
312,2021-02-21,,    18.4,    20.5,   -13.2,     0.7,   -13.2,    -5.1,      71,
312,2021-02-22,,    18.5,    20.6,    -4.3,    -2.7,   -13.2,    -6.5,      69,
312,2021-02-23,,    19.0,    20.9,    -0.3,     3.1,    -4.4,    -1.1,      71,
312,2021-02-24,,    19.0,    20.9,   -11.1,     0.1,   -12.6,    -6.6,      70,
312,2021-02-25,,    19.0,    20.9,   -18.9,     0.3,   -19.3,    -9.6,      69,
312,2021-02-26,,    19.4,    21.2,    -7.0,    -4.0,   -21.7,   -11.5,      74,
312,2021-02-27,,    19.9,    21.8,   -12.5,    -3.0,   -13.0,    -7.4,      77,
312,2021-02-28,,    19.9,    21.8,   -19.3,     0.5,   -19.5,   -10.0,      74,
312,2021-03-01,,    19.9,    21.8,   -14.2,    -1.2,   -21.9,   -11.7,      73,
312,2021-03-02,,    19.9,    21.8,   -10.3,     8.3,   -15.6,    -5.6,      70,
312,2021-03-03,,    19.9,    21.8,    -9.1,    10.1,   -10.4,    -3.1,      68,
312,2021-03-04,,    19.9,    21.8,    -6.8,    12.2,   -11.7,    -2.7,      67,
312,2021-03-05,,    19.9,    21.8,    -7.7,    11.2,   -10.3,    -1.5,      65,
312,2021-03-06,,    19.9,    21.8,    -2.3,    12.7,    -8.5,     0.2,      64,
312,2021-03-07,,    20.3,    22.2,    -8.3,     4.9,    -8.3,    -0.7,      66,
312,2021-03-08,,    20.3,    22.2,    -5.7,     5.8,   -12.0,    -3.3,      65,
312,2021-03-09,,    20.5,    22.4,    -4.1,     6.2,    -5.7,    -1.2,      66,
312,2021-03-10,,    20.5,    22.4,   -14.8,     2.2,   -14.8,    -5.4,      65,
312,2021-03-11,,    20.5,    22.4,   -13.5,     6.2,   -17.4,    -7.8,      65,
312,2021-03-12,,    20.5,    22.4,   -11.9,     7.5,   -15.7,    -6.0,      64,
312,2021-03-13,,    20.5,    22.4,    -8.5,     8.1,   -13.9,    -4.2,      64,
312,2021-03-14,,    20.5,    22.4,    -6.9,     9.9,   -10.7,    -1.9,      63,
312,2021-03-15,,    20.5,    22.4,    -3.8,    13.7,   -10.8,    -0.1,      61,
312,2021-03-16,,    20.5,    22.4,    -2.4,    13.1,    -6.4,     1.5,      60,
312,2021-03-17,,    20.5,    22.4,    -6.5,    13.1,    -6.5,     1.3,      59,
312,2021-03-18,,    20.5,    22.4,    -5.2,    11.3,    -8.5,    -0.3,      58,
312,2021-03-19,,    20.5,    22.5,     4.9,    12.8,    -6.7,     2.0,      56,
312,2021-03-20,,    21.3,    23.4,    -2.8,     5.0,    -2.8,     1.0,      61,
312,2021-03-21,,    21.6,    23.6,    -9.1,     4.3,   -11.1,    -3.0,      63,
312,2021-03-22,,    21.6,    23.6,    -5.4,     3.0,   -13.1,    -4.6,      61,
312,2021-03-23,,    21.8,    23.7,   -10.8,     2.4,   -10.8,    -3.7,      64,
312,2021-03-24,,    21.8,    23.7,   -12.4,     3.7,   -12.6,    -5.1,      63,
312,2021-03-25,,    22.1,    23.9,    -4.1,     3.1,   -14.2,    -5.3,      64,
312,2021-03-26,,    22.2,    24.2,    -4.7,     3.1,    -5.0,    -2.1,      66,
312,2021-03-27,,    22.2,    24.2,    -4.8,     6.6,    -8.9,    -1.2,      63,
312,2021-03-28,,    22.2,    24.2,    -5.9,    11.1,   -10.5,    -0.5,      62,
312,2021-03-29,,    22.2,    24.2,     0.5,    13.5,    -6.3,     4.4,      61,
312,2021-03-30,,    22.2,    24.2,   -13.7,     0.5,   -13.7,    -7.0,      60,
312,2021-03-31,,    22.2,    24.2,   -13.0,     2.5,   -14.2,    -6.9,      59,
312,2021-04-01,,    22.2,    24.2,    -6.9,    10.3,   -14.8,    -2.8,      58,
312,2021-04-02,,    21.8,    24.2,    -3.2,    15.3,    -7.9,     2.2,      57,
312,2021-04-03,,    21.2,    24.2,    -1.3,    15.1,    -4.2,     4.3,      55,
312,2021-04-04,,    20.4,    24.2,     1.8,    15.2,    -4.1,     5.2,      53,
312,2021-04-05,,    19.8,    24.2,    -1.1,    15.1,    -1.4,     5.7,      51,
312,2021-04-06,,    19.5,    24.2,    -1.4,     6.0,    -2.3,     1.1,      50,
312,2021-04-07,,    19.2,    24.2,    -4.9,    10.4,    -4.9,     1.7,      49,
312,2021-04-08,,    18.9,    24.2,    -2.3,    13.3,    -7.0,     2.4,      48,
312,2021-04-09,,    18.7,    24.2,    -8.9,     3.3,   -10.9,    -1.4,      47,
312,2021-04-10,,    18.5,    24.4,    -5.5,    10.0,   -12.7,    -1.2,      46,
312,2021-04-11,,    18.4,    24.4,    -7.5,     7.3,    -7.5,    -0.3,      46,
312,2021-04-12,,    18.3,    24.4,    -9.6,     4.6,   -10.2,    -3.5,      45,
312,2021-04-13,,    18.2,    24.4,    -2.1,     7.5,   -10.5,    -1.8,      44,
312,2021-04-14,,    18.0,    24.4,    -4.7,     7.1,    -5.5,    -0.4,      44,
312,2021-04-15,,    17.7,    24.4,    -3.3,     7.5,    -6.7,    -1.3,      43,
312,2021-04-16,,    17.6,    24.4,    -1.0,     7.5,    -6.4,     1.1,      42,
312,2021-04-17,,    17.3,    24.4,    -5.2,    10.8,    -5.2,     1.8,      40,
312,2021-04-18,,    17.0,    24.4,    -2.3,    12.5,    -7.4,     2.4,      39,
312,2021-04-19,,    16.6,    24.4,    -2.5,    14.3,    -4.9,     3.8,      37,
312,2021-04-20,,    16.1,    24.4,    -3.9,     9.4,    -4.5,     1.5,      36,
312,2021-04-21,,    15.5,    24.4,    -4.5,    10.0,    -7.7,     1.0,      35,
312,2021-04-22,,    15.1,    24.4,    -4.8,    11.9,    -7.3,     1.5,      34,
312,2021-04-23,,    14.8,    24.4,    -3.4,    10.7,    -7.1,     1.3,      33,
312,2021-04-24,,    14.6,    24.4,    -1.5,    10.0,    -5.3,     1.9,      32,
312,2021-04-25,,    14.7,    25.0,     0.6,     6.2,    -1.8,     2.0,      34,
312,2021-04-26,,    15.0,    25.4,    -2.9,     5.3,    -3.0,     0.7,      36,
312,2021-04-27,,    14.9,    25.4,    -0.4,     9.5,    -4.2,     1.4,      34,
312,2021-04-28,,    14.5,    25.4,    -3.3,    11.5,    -3.3,     3.3,      32,
312,2021-04-29,,    13.7,    25.4,    -0.7,    13.3,    -4.5,     4.3,      31,
312,2021-04-30,,    12.6,    25.4,     1.8,    18.8,    -1.6,     7.7,      28,
312,2021-05-01,,    11.5,    25.4,     2.0,    20.8,     0.2,     9.0,      26,
312,2021-05-02,,    10.7,    25.5,     0.5,    17.2,     0.5,     6.4,      24,
312,2021-05-03,,    10.0,    25.5,     0.4,    11.0,    -1.3,     3.9,      23,
312,2021-05-04,,     9.4,    25.5,    -0.9,    11.9,    -2.0,     4.1,      22,
312,2021-05-05,,     8.9,    25.5,    -2.4,    11.7,    -2.9,     3.5,      21,
312,2021-05-06,,     8.1,    25.5,    -0.3,    15.8,    -4.1,     5.3,      19,
312,2021-05-07,,     7.0,    25.6,     4.1,    22.1,    -0.8,     9.6,      17,
312,2021-05-08,,     6.2,    25.7,    -2.4,     9.1,    -2.4,     4.4,      15,
312,2021-05-09,,     5.7,    25.7,    -6.1,     6.9,    -7.2,    -0.1,      13,
312,2021-05-10,,     5.4,    25.7,    -4.2,     8.9,    -7.5,     0.3,      12,
312,2021-05-11,,     5.1,    25.7,    -3.9,     8.8,    -5.0,     0.7,      13,
312,2021-05-12,,     4.4,    25.7,    -2.2,    11.9,    -5.3,     3.1,      12,
312,2021-05-13,,     3.8,    25.7,     2.5,    15.3,    -3.1,     6.2,       9,
312,2021-05-14,,     2.7,    25.7,     1.9,    18.1,     0.5,     8.5,       6,
312,2021-05-15,,     2.1,    25.7,     1.0,    14.8,     0.4,     6.9,       5,
312,2021-05-16,,     1.3,    25.7,     2.1,    17.5,     0.0,     7.9,       3,
312,2021-05-17,,     0.0,    25.7,     2.3,    19.6,     0.2,     9.3,       0,
312,2021-05-18,,     0.0,    25.7,     2.2,    19.8,     0.3,     9.8,       0,
312,2021-05-19,,     0.0,    25.7,     0.1,    14.1,    -0.3,     7.6,       0,
312,2021-05-20,,     0.0,    25.8,     0.9,    12.3,    -1.0,     4.7,       0,
312,2021-05-21,,     0.0,    25.8,     1.5,    10.1,    -0.1,     3.6,       0,
312,2021-05-22,,     0.0,    25.8,     1.8,     9.5,     0.6,     3.9,       0,
312,2021-05-23,,     0.0,    25.8,    -2.1,    10.7,    -2.3,     4.2,       0,
312,2021-05-24,,     0.0,    26.1,     1.7,     6.7,    -2.8,     1.7,       0,
312,2021-05-25,,     0.0,    26.3,    -0.6,     7.7,    -0.6,     3.5,       0,
312,2021-05-26,,     0.0,    26.7,     1.8,    10.1,    -1.2,     2.9,       0,
312,2021-05-27,,     0.0,    26.8,    -0.1,    10.8,    -0.5,     4.2,       0,
312,2021-05-28,,     0.0,    26.8,     6.0,    16.2,    -1.6,     8.3,       0,
312,2021-05-29,,     0.0,    26.8,    -1.7,    14.2,    -1.7,     7.3,       0,
312,2021-05-30,,     0.0,    26.8,     2.2,    17.9,    -2.7,     7.7,       0,
312,2021-05-31,,     0.0,    26.8,     4.1,    19.2,     0.3,    10.3,       0,
312,2021-06-01,,     0.0,    26.8,     5.4,    21.8,     2.6,    12.5,       0,
312,2021-06-02,,     0.0,    26.8,     7.0,    23.3,     3.7,    13.9,       0,
312,2021-06-03,,     0.0,    26.8,     8.7,    27.0,     5.3,    16.0,       0,
312,2021-06-04,,     0.0,    26.8,    10.6,    28.9,     7.7,    18.1,       0,
312,2021-06-05,,     0.0,    26.8,     7.8,    25.5,     7.8,    16.6,       0,
312,2021-06-06,,     0.0,    26.8,     3.1,    19.9,     3.1,    12.9,       0,
312,2021-06-07,,     0.0,    26.8,     1.1,    16.6,    -2.3,     8.4,       0,
312,2021-06-08,,     0.0,    26.8,     4.8,    17.8,    -0.3,     9.7,       0,
312,2021-06-09,,     0.0,    26.8,     5.0,    19.9,     4.3,    12.3,       0,
312,2021-06-10,,     0.0,    26.8,     5.3,    20.2,     2.6,    11.7,       0,
312,2021-06-11,,     0.0,    27.2,    -1.7,     7.1,    -1.7,     2.6,       0,
312,2021-06-12,,     0.0,    27.2,     4.2,    14.7,    -1.9,     5.9,       0,
312,2021-06-13,,     0.0,    27.2,     6.1,    19.7,     4.2,    11.3,       0,
312,2021-06-14,,     0.0,    27.2,     9.5,    27.4,     4.9,    16.6,       0,
312,2021-06-15,,     0.0,    27.2,     8.6,    27.7,     6.9,    17.4,       0,
312,2021-06-16,,     0.0,    27.2,     4.4,    21.8,     4.4,    14.6,       0,
312,2021-06-17,,     0.0,    27.2,     4.4,    22.7,     1.1,    12.6,       0,
312,2021-06-18,,     0.0,    27.2,     5.5,    24.0,     1.5,    13.4,       0,
312,2021-06-19,,     0.0,    27.2,     7.2,    25.6,     2.9,    15.2,       0,
312,2021-06-20,,     0.0,    27.2,     6.9,    24.6,     5.5,    15.4,       0,
312,2021-06-21,,     0.0,    27.2,     7.6,    23.0,     3.7,    14.5,       0,
312,2021-06-22,,     0.0,    27.2,     8.8,    25.6,     4.6,    15.6,       0,
312,2021-06-23,,     0.0,    27.2,     9.8,    27.5,     7.4,    17.3,       0,
312,2021-06-24,,     0.0,    27.2,    10.6,    23.9,     5.7,    15.2,       0,
312,2021-06-25,,     0.0,    27.2,     9.5,    23.4,     8.2,    15.3,       0,
312,2021-06-26,,     0.0,    27.2,    11.3,    23.7,     5.5,    15.3,       0,
312,2021-06-27,,     0.0,    27.2,     9.1,    25.5,     7.9,    17.6,       0,
312,2021-06-28,,     0.0,    27.2,    15.1,    28.2,     7.7,    19.4,       0,
312,2021-06-29,,     0.0,    27.2,    11.6,    31.2,    11.2,    20.5,       0,
312,2021-06-30,,     0.0,    27.2,    12.9,    30.7,     9.1,    20.2,       0,
312,2021-07-01,,     0.0,    27.2,    11.0,    28.9,    10.1,    18.5,       0,
312,2021-07-02,,     0.0,    27.4,     8.2,    27.4,     8.2,    14.0,       0,
312,2021-07-03,,     0.0,    27.4,    11.0,    27.8,     7.1,    17.3,       0,
312,2021-07-04,,     0.0,    27.4,    10.2,    29.1,     8.5,    18.1,       0,
312,2021-07-05,,     0.0,    27.5,    11.1,    27.2,    10.2,    17.6,       0,
312,2021-07-06,,     0.0,    27.5,     9.0,    26.6,     9.0,    17.8,       0,
312,2021-07-07,,     0.0,    27.5,    14.7,    29.0,     7.2,    18.8,       0,
312,2021-07-08,,     0.0,    27.5,     8.6,    28.6,     8.6,    19.1,       0,
312,2021-07-09,,     0.0,    27.5,     8.9,    26.8,     5.6,    16.7,       0,
312,2021-07-10,,     0.0,    27.5,     8.1,    26.2,     6.2,    16.5,       0,
312,2021-07-11,,     0.0,    27.5,    12.0,    29.8,     6.8,    18.1,       0,
312,2021-07-12,,     0.0,    27.5,     8.3,    28.4,     8.3,    18.6,       0,
312,2021-07-13,,     0.0,    27.5,    11.3,    29.5,     6.6,    18.2,       0,
312,2021-07-14,,     0.0,    27.5,    12.3,    26.8,     8.1,    17.4,       0,
312,2021-07-15,,     0.0,    27.5,     9.3,    27.1,     8.2,    17.8,       0,
312,2021-07-16,,     0.0,    27.5,     9.2,    28.5,     7.9,    17.4,       0,
312,2021-07-17,,     0.0,    27.5,     8.3,    27.8,     7.3,    16.7,       0,
